,Unnamed: 0,year,over_start_bowler_balls_bowled,over_start_bowler_wickets_taken,over_start_bowler_runs_given,over_start_batsman_on_strike_fours,over_start_batsman_on_strike_sixers,over_start_batsman_off_strike_balls_faced,over_start_batsman_on_strike_balls_faced,over_start_batsman_offstrike_runs,over_start_batsman_onstrike_runs,innings,match_num,country,target,req_run_rate,over_start_run_rate,over_start_total_score,over_start_total_wickets_fallen,over,Bowler,batter_onStrike,batter_offstrike,wickets_fallen,sixers,fours,total_runs,bat_on_str_Ave,bat_on_str_SR,bat_on_str_100,bat_on_str_50,bat_on_str_0,bat_on_str_4s,bat_on_str_6s,bat_on_str_Mat,bat_on_str_Inns,bat_on_str_NO,bat_on_str_Runs,bat_on_str_HS,bat_on_str_BF,bowler_Mat,bowler_Inns,bowler_Overs,bowler_Mdns,bowler_Runs,bowler_Wkts,bowler_Ave,bowler_Econ,bowler_SR,bowler_4w,bowler_5w,bat_off_str_Ave,bat_off_str_SR,bat_off_str_100,bat_off_str_50,bat_off_str_0,bat_off_str_4s,bat_off_str_6s,bat_off_str_Mat,bat_off_str_Inns,bat_off_str_NO,bat_off_str_Runs,bat_off_str_HS,bat_off_str_BF,date
2,2,['2015-11-26'],6,0,5,1,0,0,6,0,6,1,468,England,210,8.0,8.0,16,1,2,Anwar Ali,AD Hales,JM Vince,1,0,0,2,36.4,137.01,1,7,3,114,35,35.0,35,5,1092,116,797,11.0,10,27,0,230,6,38.33,8.51,27,0,0,,,,,,,,,,,,,,2015-11-26
3,3,['2015-11-26'],7,1,11,0,0,3,0,0,0,1,468,England,210,8.0,6.0,18,2,3,Sohail Tanvir,JM Vince,MM Ali,1,0,0,1,,,,,,,,,,,,,,47.0,47,163.3,2,1158,42,27.57,7.08,23.3,0,0,18.42,127.72,0,1,2,14,4,8.0,8,1,129,72,101,2015-11-26
4,4,['2015-11-26'],12,1,7,0,0,1,2,0,0,1,468,England,210,8.0,4.75,19,3,4,Anwar Ali,JM Vince,EJG Morgan,0,0,1,6,,,,,,,,,,,,,,11.0,10,27,0,230,6,38.33,8.51,27,0,0,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
5,5,['2015-11-26'],0,0,0,0,0,7,2,5,1,1,468,England,210,8.0,5.0,25,3,5,Wahab Riaz,EJG Morgan,JM Vince,0,0,3,15,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,10.0,10,28,1,208,9,23.11,7.42,18.6,0,0,,,,,,,,,,,,,,2015-11-26
6,6,['2015-11-26'],0,0,0,1,0,10,5,14,7,1,468,England,210,9.0,6.666666667,40,3,6,Shahid Afridi,EJG Morgan,JM Vince,0,0,0,3,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,84.0,83,305.2,3,2017,83,24.3,6.6,22,3,0,,,,,,,,,,,,,,2015-11-26
7,7,['2015-11-26'],0,0,0,1,0,13,8,15,9,1,468,England,210,9.0,6.142857143,43,3,7,Imran Khan (1),EJG Morgan,JM Vince,0,0,1,6,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-26
8,8,['2015-11-26'],6,0,3,3,0,11,16,14,16,1,468,England,210,9.0,6.125,49,3,8,Shahid Afridi,JM Vince,EJG Morgan,0,0,1,7,,,,,,,,,,,,,,84.0,83,305.2,3,2017,83,24.3,6.6,22,3,0,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
9,9,['2015-11-26'],6,0,6,4,0,14,19,16,21,1,468,England,210,9.0,6.222222222,56,3,9,Imran Khan (1),JM Vince,EJG Morgan,0,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
10,10,['2015-11-26'],12,0,10,2,0,24,16,29,18,1,468,England,210,9.0,6.7,67,3,10,Shahid Afridi,EJG Morgan,JM Vince,0,0,2,10,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,84.0,83,305.2,3,2017,83,24.3,6.6,22,3,0,,,,,,,,,,,,,,2015-11-26
11,11,['2015-11-26'],6,0,15,5,1,18,28,23,34,1,468,England,210,9.0,7.0,77,3,11,Wahab Riaz,JM Vince,EJG Morgan,0,0,0,3,,,,,,,,,,,,,,10.0,10,28,1,208,9,23.11,7.42,18.6,0,0,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
